"","id","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","C6","country","uso_ia_frecuencia","studyArea","education","workArea","gender","age","optionsCount"
"14","1JC0VGxHyr4bxcP1kFoz",3,4,4,3,2,2,2,2,2,2,2,"Argentina","frecuente","otra-no-aplica","masters","consultoria-servicios-profesionales","female",42,2
"15","1NWqsVoGFxQiJLbEc9P8",1,1,3,2,4,2,2,2,2,2,3,"Argentina","esporadicamente","derecho-ciencias-juridicas","bachelors","consultoria-servicios-profesionales","male",29,3
"16","1U6KKCS32e8sUFToS2RL",4,4,5,3,4,2,2,1,1,3,2,"Argentina","frecuente","ciencias-sociales-humanidades","doctorate","educacion","female",45,2
"17","1za45t5YLZ4k4Mx1sr0B",4,4,4,4,2,4,4,4,4,4,4,"Uruguay","ocasional","comunicacion-periodismo","masters","comunicacion-marketing","female",44,2
"18","1zwAJStSvFji26ZcMBAk",5,5,5,5,1,3,3,4,4,3,4,"Perú","frecuente","ciencias-economicas-administracion","other","comercio-ventas","female",30,2
"19","29DqQt8QQO1yIeWknkRN",3,4,4,4,5,2,2,2,2,3,3,"Perú","frecuente","otra-no-aplica","doctorate","educacion","female",55,3
"20","2Ex3ZQiYT2jezV8bhVoI",2,4,4,4,3,1,1,1,1,4,1,"Argentina","ocasional","ciencias-educacion","masters","educacion","female",58,2
"21","2LDeSHkU6Mr3C42BUpnc",3,3,3,3,3,3,4,3,3,3,3,"Argentina","esporadicamente","ciencias-educacion","doctorate","salud-servicios-sociales","female",30,3
"22","2Pea9wSOagxMHAZwxlRz",4,4,4,4,2,2,3,3,4,4,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","male",47,3
"23","2QM2b5x2y9ejEn3nCTWs",4,5,4,4,1,2,3,2,2,2,3,"Argentina","frecuente","ciencias-economicas-administracion","high-school","comercio-ventas","female",38,2
"24","2QZSVFHHHW4qoue8ani1",3,4,4,3,3,3,3,3,2,4,4,"España","ocasional","ciencias-educacion","masters","educacion","female",59,2
"25","31WQwlV3KXpyIeMg47K1",4,4,4,4,4,4,4,2,2,4,2,"España","esporadicamente","ciencias-educacion","bachelors","educacion","male",46,2
"26","3aGZChwNhsYWZN3RTFny",4,4,4,4,3,2,4,2,2,5,4,"Argentina","ocasional","ciencias-economicas-administracion","bachelors","educacion","female",53,3
"27","3ff5zFEkM2csAAWGiDoo",3,3,4,4,2,2,3,2,2,2,2,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","male",62,3
"28","3fuHp2US1pnvcehz2ITp",2,2,4,3,3,2,1,1,1,1,2,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","administracion-finanzas","female",21,2
"29","3kgE6bmTJe66BOBGGjqf",4,5,5,4,2,3,3,2,3,3,4,"Uruguay","frecuente","derecho-ciencias-juridicas","masters","administracion-finanzas","male",46,3
"30","3KyGWiqlaWJZvz3qnucH",3,4,4,3,3,2,2,2,2,2,4,"Argentina","frecuente","derecho-ciencias-juridicas","bachelors","consultoria-servicios-profesionales","male",55,2
"31","3piXBVvcRbTWZzqTpwuV",3,4,2,3,4,4,4,2,4,2,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","female",27,3
"32","3wqvCIslV5SLIz9eS6Mi",3,4,5,3,4,1,3,1,1,4,4,"Argentina","ocasional","ciencias-salud","bachelors","otra-no-aplica","female",22,3
"33","3XnXgY96MNGE1WqFnFFR",3,5,5,5,2,2,2,3,2,4,2,"Argentina","esporadicamente","ciencias-exactas-naturales","bachelors","gobierno-sector-publico","male",45,2
"34","4aZFhOJXH7VPreSyT7WN",4,4,5,3,2,2,2,1,1,3,3,"España","ocasional","ciencias-sociales-humanidades","masters","educacion","male",27,3
"35","4BKpkbxlPO4OFZ0gHh6d",3,3,3,3,3,2,2,1,1,4,2,"Argentina","esporadicamente","otra-no-aplica","high-school","arte-cultura-diseno","female",32,3
"36","4DIBT2l8qKWFg2Kuqlj5",1,1,2,1,5,1,1,1,1,4,1,"Argentina","nunca","otra-no-aplica","other","comercio-ventas","female",49,3
"37","4DKI5Q42nUbM2YboRsDS",4,3,2,4,2,3,3,1,1,2,2,"Argentina","esporadicamente","ciencias-salud","doctorate","salud-servicios-sociales","female",44,3
"38","4Dq0CW65gj0u8gK6Iqbj",4,4,5,3,3,1,1,1,2,4,4,"Argentina","frecuente","ingenieria-tecnologia","bachelors","otra-no-aplica","female",39,3
"39","4O3KLllhi8PMmpJTl3mc",3,2,3,2,4,1,1,1,1,2,2,"Argentina","nunca","otra-no-aplica","doctorate","comercio-ventas","male",41,3
"40","4R37zAXu1Nbvydc9SKnV",1,2,3,2,4,1,2,1,3,1,4,"Argentina","esporadicamente","ciencias-educacion","bachelors","educacion","female",49,2
"41","5l3zegWCr8QKgImDfZHw",4,4,4,2,3,3,3,2,3,2,3,"Argentina","ocasional","ciencias-exactas-naturales","doctorate","educacion","female",39,2
"42","5Q3Qpmjkg7SL8Nwii6q9",4,4,3,4,1,3,3,1,3,3,3,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","female",49,2
"43","69DgiQbezTUPK6zHjAgB",5,4,5,5,2,3,4,2,3,5,5,"Argentina","frecuente","ciencias-economicas-administracion","high-school","administracion-finanzas","male",18,2
"44","6jGWehh5ZWnAGfza6kNN",4,4,5,4,3,3,3,3,2,4,5,"Argentina","frecuente","ciencias-economicas-administracion","bachelors","comunicacion-marketing","female",28,2
"45","6p4q7mbHOO18BSdR5J2m",5,5,5,5,2,1,2,1,2,3,3,"Argentina","ocasional","ciencias-salud","doctorate","educacion","female",54,3
"46","6uTpMI2PUgUzOcXLykP6",3,4,4,3,3,3,4,2,3,2,4,"Argentina","ocasional","ciencias-salud","bachelors","otra-no-aplica","female",20,2
"47","74YRQnsqhSfAzi0SsuCy",3,3,5,3,4,2,3,1,1,3,4,"Argentina","ocasional","ingenieria-tecnologia","high-school","otra-no-aplica","male",18,3
"48","7byl9QVo6E6dfwrQiiYJ",2,2,3,2,3,1,1,1,1,1,1,"Argentina","esporadicamente","arte-diseno","bachelors","comunicacion-marketing","female",42,3
"49","7OH1cJQihTtugp3bn8GO",4,4,4,4,2,2,3,3,3,2,2,"Argentina","esporadicamente","ciencias-economicas-administracion","bachelors","otra-no-aplica","male",45,3
"50","7Owfy2vabNMd8ojUKLkt",3,4,4,3,2,2,5,1,1,4,4,"España","esporadicamente","ciencias-economicas-administracion","bachelors","administracion-finanzas","female",40,3
"51","7QJNH3Z83rP6K4Wb1RSS",3,3,4,4,3,3,2,3,5,3,3,"Chile","frecuente","ciencias-sociales-humanidades","doctorate","educacion","male",51,2
"52","7rbZRfFr3oWuBzHRoowr",4,4,4,4,3,3,3,2,4,4,4,"Argentina","frecuente","ciencias-salud","bachelors","salud-servicios-sociales","female",57,2
"53","7RrlWsKYhOlVckYvrJSO",3,4,5,4,2,3,3,2,4,3,4,"Argentina","frecuente","ciencias-economicas-administracion","high-school","otra-no-aplica","female",19,2
"54","7ShsCKAScvXt3jBe6QIC",4,5,5,4,3,2,2,1,1,2,4,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","otra-no-aplica","non-binary",29,3
"55","7VPoTvh9OOlUFKemVbiu",2,4,4,3,4,2,4,2,2,4,2,"Argentina","ocasional","ciencias-economicas-administracion","bachelors","educacion","female",49,3
"56","7Z5rEdwT5yV4wOp1MyWS",4,4,4,4,2,2,1,3,3,4,3,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","gobierno-sector-publico","female",24,3
"57","88HK4i87OpTkF0UZJspE",4,5,5,5,3,3,4,1,1,2,3,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","female",39,3
"58","8B0EfEQQWYnBp26xa21b",3,4,4,4,2,2,1,1,1,4,4,"Argentina","frecuente","ciencias-sociales-humanidades","masters","educacion","female",31,2
"59","8sfnPB5W0uurjs9E3YmC",2,2,3,2,4,1,2,1,1,1,3,"Argentina","esporadicamente","ciencias-exactas-naturales","bachelors","otra-no-aplica","female",22,2
"60","8TEJJ0Cm0Hh6k7xsY6PL",4,4,5,3,2,1,4,1,1,1,2,"Argentina","frecuente","ciencias-sociales-humanidades","masters","educacion","female",35,3
"61","8u53zzlKZAo0pqIyP6GH",4,5,4,3,2,2,2,1,1,3,5,"Argentina","frecuente","ciencias-salud","doctorate","educacion","female",35,2
"62","8yQUCJeV4oKHAvzIkdQm",4,4,4,4,1,2,3,2,1,4,4,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","salud-servicios-sociales","female",55,2
"63","9e9IQQRV1HSqZM2Wu82Y",2,5,4,4,2,4,5,2,3,5,4,"Argentina","ocasional","ingenieria-tecnologia","high-school","otra-no-aplica","male",19,2
"64","9i8W7Uvz6p2QsybvqDfo",5,5,5,5,2,4,4,4,4,5,5,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","male",37,3
"65","9JsXLTBIR2YE93wDlCHG",4,4,4,4,2,3,3,3,3,3,3,"Uruguay","frecuente","comunicacion-periodismo","doctorate","comunicacion-marketing","male",59,2
"66","9K3YYvorFxBGPSuIBqgq",4,4,4,3,3,2,4,3,3,5,4,"Argentina","esporadicamente","ciencias-salud","bachelors","tecnologia-informatica","female",56,3
"67","9L5jA1iKZkY1mpDiSvjr",4,4,5,4,3,2,4,3,4,4,3,"Argentina","frecuente","ingenieria-tecnologia","high-school","otra-no-aplica","female",20,2
"68","9MeBbCZ23y7vqHNjO3sh",4,4,4,3,2,4,4,2,2,2,4,"Argentina","frecuente","comunicacion-periodismo","bachelors","educacion","female",51,2
"69","9RlC7eooAJfAkGM4cF5T",2,5,4,5,1,2,2,1,2,1,3,"Argentina","ocasional","ingenieria-tecnologia","bachelors","educacion","male",40,2
"70","9rwhWCJKukFSmTlzp5Ue",4,5,5,3,4,4,2,1,2,4,5,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","salud-servicios-sociales","male",34,2
"71","9TT00Wu09Km7C1lT0ZJo",4,4,5,4,2,2,3,2,1,3,4,"España","ocasional","derecho-ciencias-juridicas","bachelors","consultoria-servicios-profesionales","male",26,2
"72","9W2F9FkUHbu27lUxwYQx",3,2,5,3,4,1,1,3,3,3,4,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","male",35,2
"73","9xBaReS4eYsWaF30HTvX",3,3,4,4,3,2,2,1,2,2,2,"Argentina","esporadicamente","derecho-ciencias-juridicas","bachelors","consultoria-servicios-profesionales","male",26,3
"74","9yZ0oMfImUso3bGTP3H2",5,5,5,5,5,5,4,1,1,1,5,"Argentina","ocasional","ciencias-salud","bachelors","consultoria-servicios-profesionales","male",43,3
"75","A0G7q7rccPMwC73Pe6Lu",4,4,5,4,3,3,2,3,3,4,4,"Argentina","frecuente","ciencias-sociales-humanidades","other","gobierno-sector-publico","female",43,2
"76","a12ZwODsAlL5JGFGVlgA",4,3,5,4,2,3,4,3,3,4,4,"Argentina","ocasional","ciencias-economicas-administracion","high-school","otra-no-aplica","male",18,2
"77","a2vElZSPpdSdxKXt14zl",3,4,5,4,3,4,4,1,1,3,4,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","female",40,2
"78","ab0rEQrKD0y1w7nVZonk",5,5,5,5,3,4,1,1,4,4,5,"Argentina","frecuente","ingenieria-tecnologia","masters","consultoria-servicios-profesionales","female",42,2
"79","ACbR43xpUBafpdK7FagN",1,1,2,4,5,1,3,1,1,3,1,"Argentina","nunca","otra-no-aplica","high-school","comercio-ventas","female",36,2
"80","acG2EG5Ok9eFH8qeefuQ",4,5,5,4,2,1,1,1,1,3,3,"Argentina","frecuente","ciencias-salud","bachelors","educacion","female",59,2
"81","aCuc0KkP0Aw7mBu9zTU1",3,5,5,3,3,2,2,1,1,4,4,"Argentina","frecuente","ciencias-sociales-humanidades","masters","tecnologia-informatica","male",27,3
"82","AfZJABK9PxYwrTqjNYCE",3,3,4,4,2,3,4,2,3,5,3,"Argentina","ocasional","ingenieria-tecnologia","bachelors","educacion","male",45,3
"83","aKexnJGFVcrQ1eFRpc5d",4,4,4,3,3,2,2,2,2,2,2,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","salud-servicios-sociales","female",40,3
"84","AOmZE7gbgL1nB5EcqLRo",4,4,4,4,3,3,3,2,2,3,4,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","educacion","female",43,3
"85","atRSIozzoaIPi0Osby2d",1,4,4,3,3,2,2,3,1,2,2,"Argentina","ocasional","ingenieria-tecnologia","high-school","otra-no-aplica","male",18,2
"86","azGoPgUDOOjGDxl6EvCv",3,4,4,3,3,3,2,2,2,3,4,"España","esporadicamente","ciencias-educacion","bachelors","educacion","female",48,2
"87","azhKcUGKXdhUxe9qwTVk",4,4,4,4,3,4,2,1,2,4,4,"Argentina","frecuente","ciencias-salud","doctorate","salud-servicios-sociales","female",38,3
"88","b1rGE9iU9Na0PMBgCBJ4",5,5,5,5,1,2,2,2,1,4,4,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","female",45,3
"89","b31Ih6pTrZOgM2yMFzbU",4,4,5,5,2,3,2,1,1,2,1,"Argentina","esporadicamente","ciencias-salud","bachelors","salud-servicios-sociales","female",30,3
"90","B4bdIAHCnyMKnNi4gbOF",3,2,4,3,4,1,2,1,4,4,2,"Argentina","esporadicamente","ciencias-exactas-naturales","high-school","gobierno-sector-publico","non-binary",35,3
"91","b4wunCAYUxJQb18XkmVP",4,4,4,4,2,2,3,1,2,3,3,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","female",25,3
"92","B6GJJZ2lc36eHLhegwdE",4,4,5,4,2,4,4,1,1,4,4,"España","ocasional","ciencias-sociales-humanidades","masters","salud-servicios-sociales","female",24,2
"93","b9rG4B1Q2tUPglHcsU9o",5,5,5,4,5,4,4,4,3,5,4,"España","ocasional","ciencias-sociales-humanidades","bachelors","comercio-ventas","male",24,3
"94","bB1cXtNT4Va92iQGLYjh",3,3,4,4,2,1,2,1,3,4,4,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","female",45,3
"95","BB5jIRBQYE1WvtiUPetq",4,4,4,4,2,2,2,1,2,2,4,"Argentina","esporadicamente","ciencias-economicas-administracion","doctorate","administracion-finanzas","male",40,3
"96","BeonDbO19euN4mCsxgfz",1,1,1,1,1,3,4,1,1,1,3,"Argentina","nunca","ciencias-educacion","high-school","consultoria-servicios-profesionales","male",47,3
"97","bKi5iAJmilo3QVbHVwk3",4,4,3,4,2,2,4,2,2,4,2,"Argentina","ocasional","ciencias-salud","bachelors","educacion","female",53,3
"98","BkZ9x2PFEuZR7Wd7IvAb",4,4,5,4,3,3,3,2,2,2,4,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","female",44,2
"99","bMW2WvxqOwxJWeCvMIos",1,1,4,2,5,2,3,2,1,4,4,"España","esporadicamente","derecho-ciencias-juridicas","bachelors","salud-servicios-sociales","female",56,3
"100","bRheXXrRIRdvv92GH6pb",3,3,3,2,4,3,3,1,3,4,3,"Argentina","ocasional","ciencias-salud","bachelors","salud-servicios-sociales","female",55,3
"101","btPmS8YdY2kS4AiJhiO8",4,5,5,4,1,3,4,3,4,4,4,"Argentina","frecuente","ciencias-exactas-naturales","bachelors","educacion","male",51,2
"102","bURcbheNEb4YoWGDYqNJ",4,4,4,3,3,4,2,2,2,2,2,"Argentina","frecuente","ciencias-exactas-naturales","bachelors","educacion","female",52,2
"103","BWc1y12CU3gCEUAIMqU7",4,4,4,4,3,3,3,3,3,4,4,"Uruguay","esporadicamente","ciencias-economicas-administracion","masters","consultoria-servicios-profesionales","male",42,2
"104","bWeL5sXxMVtY70daeQE1",4,4,5,4,2,2,4,2,2,4,4,"España","frecuente","ciencias-salud","masters","industria-manufactura","female",26,3
"105","bwMJfYEWZXStDPqxK7aY",4,4,4,3,2,2,2,1,3,3,1,"Argentina","ocasional","ciencias-salud","bachelors","educacion","female",66,2
"106","BwzWNM42sJTsl4toOgi7",4,5,5,3,2,1,1,1,2,3,2,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","educacion","female",29,2
"107","bXpBBDal98BmJKd0pvQK",3,4,4,4,1,2,4,2,5,2,2,"Argentina","ocasional","ciencias-educacion","bachelors","educacion","female",33,3
"108","bygJ9OUaGTp2eQ5eaZg1",4,5,5,4,2,1,2,1,1,2,4,"Argentina","ocasional","ciencias-salud","bachelors","gobierno-sector-publico","female",34,2
"109","byjxwwsZK5uk3uqfJzea",2,3,5,4,1,4,3,1,1,3,4,"Argentina","ocasional","ciencias-economicas-administracion","high-school","otra-no-aplica","female",19,3
"110","bZPreIWvJz9oWNAc8ZKj",2,3,4,3,3,2,3,1,2,1,1,"Argentina","frecuente","otra-no-aplica","bachelors","educacion","male",54,3
"111","BZVCOB9krf0C3ubpIX6X",4,4,4,4,1,1,2,2,3,3,4,"Argentina","frecuente","ciencias-salud","bachelors","salud-servicios-sociales","female",38,3
"112","C5iRZdPgGK5StsFY5RUc",3,3,5,4,2,3,3,2,4,2,4,"Argentina","esporadicamente","ciencias-salud","bachelors","salud-servicios-sociales","male",64,3
"113","CALdQ949h79iQP3gY3px",4,5,4,4,5,4,4,3,4,4,4,"Argentina","frecuente","ciencias-economicas-administracion","high-school","administracion-finanzas","male",18,3
"114","cGB92EwAugcN6c7F9nSN",5,4,5,4,3,4,4,4,4,4,4,"Argentina","frecuente","ingenieria-tecnologia","masters","tecnologia-informatica","male",41,2
"115","CGlRRf24wxKt2kUZoCDx",4,4,5,4,2,2,3,2,3,3,3,"Argentina","ocasional","derecho-ciencias-juridicas","bachelors","educacion","female",41,3
"116","cIdmFUvGIZq8VKMaZM5i",3,5,5,3,3,3,1,1,1,2,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","male",58,2
"117","Cj1JKuig721K45HxkXwn",3,5,5,4,3,4,4,2,4,2,2,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","gobierno-sector-publico","male",29,3
"118","cKja36vXxpgwMgpgAHgg",3,3,3,3,2,1,1,1,1,2,2,"Argentina","esporadicamente","ciencias-educacion","doctorate","consultoria-servicios-profesionales","female",65,2
"119","CKQRzdxMHQBompgJXnA3",5,5,5,4,2,2,4,3,3,2,5,"Argentina","frecuente","ciencias-exactas-naturales","doctorate","educacion","female",74,2
"120","CLg5zmGmLwCxmgwjsVZb",4,4,4,4,3,4,2,2,2,2,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","male",43,3
"121","cNVkmpcW4jlQV85z5oHD",4,4,4,4,3,3,3,2,2,4,4,"Argentina","ocasional","arte-diseno","bachelors","comunicacion-marketing","female",36,2
"122","coJUgDXi9PT3aqOGN8QE",2,4,4,3,4,2,1,1,1,1,2,"Argentina","ocasional","ciencias-sociales-humanidades","bachelors","comunicacion-marketing","male",25,3
"123","CPjWl5FqKdB8KEaidlZU",3,3,4,3,3,1,1,1,1,1,1,"Chile","ocasional","ciencias-sociales-humanidades","bachelors","gobierno-sector-publico","male",26,2
"124","CqxMk0OW58jc8zGH7d0a",2,2,4,3,3,1,2,1,1,1,2,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","salud-servicios-sociales","female",58,2
"125","ctkkLBWAbeOk4eHT4X5V",4,4,4,4,1,3,4,3,3,4,4,"Argentina","ocasional","ciencias-economicas-administracion","masters","educacion","male",50,2
"126","cTOGnthv0kS7c6fyW67Q",2,3,5,3,5,3,3,3,3,3,5,"Argentina","frecuente","ciencias-economicas-administracion","bachelors","educacion","male",25,3
"127","CvvO9lFM0Le46boSogMg",5,5,4,3,3,2,4,2,2,3,3,"España","frecuente","ciencias-educacion","bachelors","educacion","female",25,3
"128","CxTyIYaFhrIDDrMTPAOg",5,5,5,5,1,3,3,3,3,5,5,"Argentina","frecuente","ingenieria-tecnologia","other","educacion","male",49,3
"129","d0hsU9VH2mGRN07ZX6lQ",4,5,5,5,3,4,4,1,1,3,4,"Argentina","ocasional","otra-no-aplica","bachelors","otra-no-aplica","male",27,2
"130","DA4sseCdXB8Ic6geJy7c",4,4,5,4,3,2,2,2,4,1,2,"España","frecuente","arte-diseno","bachelors","educacion","female",47,2
"131","DGozsuUqLsN4EckoTnt0",3,2,4,3,2,1,2,1,1,2,3,"Argentina","ocasional","ciencias-salud","doctorate","educacion","female",52,3
"132","dj7O0samgTIFbdeaOklC",4,4,5,3,3,3,3,3,3,4,4,"Argentina","frecuente","ciencias-educacion","masters","gobierno-sector-publico","female",55,2
"133","DpXcPtIY3lNR4bp8JwSs",3,3,5,3,3,1,1,1,2,2,2,"Argentina","esporadicamente","ciencias-sociales-humanidades","masters","educacion","female",36,3
"134","dQFeUNyIpaJjDhNR8uFT",4,5,5,4,4,3,2,4,4,4,5,"Argentina","frecuente","ciencias-sociales-humanidades","bachelors","tecnologia-informatica","male",48,3
"135","dqqAnXvZgUHYTryw3MSp",4,4,4,4,3,3,3,1,1,4,4,"Uruguay","esporadicamente","ingenieria-tecnologia","high-school","administracion-finanzas","female",62,3
"136","e1YjWyNOtnbZTh09ePwA",4,5,5,4,3,2,2,3,3,4,4,"Chile","frecuente","comunicacion-periodismo","bachelors","tecnologia-informatica","female",39,3
"137","e5sVorwED51CD0p9JzVg",4,4,5,4,2,2,2,2,2,2,2,"Argentina","frecuente","ciencias-sociales-humanidades","doctorate","educacion","female",56,3
"138","E6QT84zTr0qx07VcCdT3",3,3,4,3,3,2,2,2,2,3,3,"Argentina","frecuente","arte-diseno","bachelors","arte-cultura-diseno","female",44,2
"139","eBM3yy7wXOxPPPMwSh0n",4,5,5,3,4,2,5,3,4,4,3,"Argentina","frecuente","arte-diseno","bachelors","comunicacion-marketing","female",25,2
"140","ec8LnifnlW1V4wtJVWp9",4,4,4,4,4,4,4,4,4,4,4,"Argentina","frecuente","ingenieria-tecnologia","masters","gobierno-sector-publico","male",49,3
"141","ecOQH0d3g1ytgKHjHcQc",2,4,4,3,4,1,2,1,1,2,2,"España","frecuente","ciencias-educacion","bachelors","educacion","female",23,3
"142","EcrM0XRG4wzpS1S3tCHL",4,4,4,4,2,2,4,2,4,3,4,"España","frecuente","ciencias-educacion","bachelors","educacion","female",41,2
"143","eEJU2ABXKrA3bFm52noI",3,3,3,3,4,1,1,1,1,1,1,"Argentina","nunca","ciencias-sociales-humanidades","bachelors","educacion","female",65,2
"144","EeK8BrfTgTnyeA4s72Cu",2,4,4,3,3,3,1,2,4,2,4,"Argentina","frecuente","ciencias-salud","masters","salud-servicios-sociales","female",54,2
"145","EhiwpAwlei0P8FBDBqRV",3,4,4,4,2,3,4,1,1,2,4,"Argentina","esporadicamente","ciencias-educacion","bachelors","educacion","female",27,3
"146","eNKt3pi8LdJ23PQ8wunC",4,4,4,4,2,2,2,2,2,2,4,"Argentina","esporadicamente","ciencias-sociales-humanidades","bachelors","educacion","female",55,3
"147","eOVYSHMncbmYN9gImMWP",4,4,4,4,3,3,2,3,3,4,3,"España","esporadicamente","ciencias-sociales-humanidades","bachelors","educacion","male",26,3
"148","ER4PYJ5O03e963zdduyg",3,4,4,4,2,3,3,2,2,3,3,"Argentina","ocasional","derecho-ciencias-juridicas","bachelors","consultoria-servicios-profesionales","female",36,2
"149","Eue2kmArimzQavYQux9E",3,4,4,3,4,2,2,2,4,2,4,"Argentina","ocasional","otra-no-aplica","bachelors","educacion","female",49,3
"150","EX7rLiS0qk23yX45nRWi",3,4,4,4,2,2,2,2,2,3,4,"Argentina","ocasional","ciencias-salud","bachelors","gobierno-sector-publico","female",53,2
"151","ExbybxmQqQMFmVMpLopl",4,4,5,4,3,3,3,3,3,4,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","female",44,3
"152","f1TKXHNRE79mLN3iGeur",2,3,3,2,4,2,2,1,1,4,1,"Argentina","nunca","ciencias-salud","bachelors","salud-servicios-sociales","female",46,2
"153","f2QgCOdkbtJiPNg5cDhb",3,3,4,3,5,2,4,2,2,4,3,"Argentina","esporadicamente","otra-no-aplica","bachelors","consultoria-servicios-profesionales","male",33,2
"154","f7BUAgwpLCx5AMoerh6c",4,5,4,3,3,4,4,4,4,4,4,"Argentina","ocasional","ingenieria-tecnologia","masters","consultoria-servicios-profesionales","male",50,2
"155","F9FZ48KRY8xXQY3It6fN",4,4,5,4,2,3,4,2,3,4,4,"Argentina","frecuente","ciencias-educacion","bachelors","educacion","male",61,2
"156","FCeO1NF3uvqIAxchkxM1",5,5,5,5,1,3,2,3,4,4,4,"Uruguay","frecuente","ingenieria-tecnologia","masters","tecnologia-informatica","male",54,2
"157","FEbvpoScPAGkx9pS8dPP",4,5,4,4,3,3,4,3,4,2,5,"Argentina","frecuente","ingenieria-tecnologia","high-school","otra-no-aplica","male",19,3
"158","fevA5LPb4hx5w6Gp24TR",2,2,4,3,1,3,4,4,1,5,4,"Argentina","ocasional","ciencias-salud","high-school","comercio-ventas","female",19,3
"159","Ff4YoniWYVCkN32mrHwf",4,5,5,4,4,4,4,4,4,4,4,"Otros","ocasional","ingenieria-tecnologia","masters","tecnologia-informatica","male",47,3
"160","FfcDNZ2b29vMYVEnShp3",3,4,4,4,2,2,3,1,1,4,4,"Argentina","esporadicamente","ciencias-salud","bachelors","salud-servicios-sociales","female",42,3
"161","FGUEBZqGI1QyFd5GgedJ",1,4,4,2,5,4,2,1,1,5,3,"España","frecuente","ciencias-educacion","bachelors","educacion","male",40,2
"162","fjS13zhBQWEG9BF4dj8h",5,4,5,4,3,3,4,2,1,3,4,"España","esporadicamente","ciencias-educacion","masters","educacion","female",46,2
